unix_time,ch_curr1,ch_curr2,ch_curr3,eq_curr1,eq_curr2,eq_curr3
1701242649,0,0,0,3.5199999809265137,4.829999923706055,2.0769999027252197
1701242697,0,0,0,4.4629998207092285,4.829999923706055,2.0769999027252197
1701242976,0,0,0,8.75100040435791,8.142999649047852,5.7210001945495605
1701243061,0,0,0,8.75100040435791,8.142999649047852,5.7210001945495605
1701243312,0,0,0,8.75100040435791,8.142999649047852,5.7210001945495605
1701252731,0,0,0,8.951000213623047,9.432000160217285,7.617000102996826
1701252829,0,0,0,9.935999870300293,9.432000160217285,7.617000102996826
1701252843,0,0,0,9.935999870300293,9.432000160217285,7.617000102996826
1701252856,0,0,0,9.935999870300293,10.04800033569336,7.617000102996826
1701252900,0,0,0,9.935999870300293,10.04800033569336,8.118000030517578
1701253200,0,0,0,2.2850000858306885,5.26800012588501,2.934999942779541
1701253500,0,0,0,3.8910000324249268,4.816999912261963,3.4519999027252197
1701253800,0,0,0,3.8910000324249268,4.816999912261963,3.0250000953674316
1701254100,0,0,0,10.305999755859375,9.527000427246094,8.07800006866455
1701254400,0,0,0,3.877000093460083,4.804999828338623,2.953000068664551
1701254700,0,0,0,3.877000093460083,4.804999828338623,2.953000068664551
1701255000,0,0,0,3.877000093460083,4.804999828338623,2.953000068664551
1701255300,0,0,0,3.877000093460083,4.804999828338623,2.953000068664551
1701255600,0,0,0,9.256999969482422,8.20199966430664,6.408999919891357
1701255900,0,0,0,8.505000114440918,8.20199966430664,6.165999889373779
1701256200,0,0,0,8.505000114440918,8.20199966430664,6.165999889373779
1701256500,0,0,0,8.960000038146973,8.079999923706055,6.6579999923706055
1701256800,0,0,0,3.86899995803833,4.811999797821045,2.7760000228881836
1701257100,0,0,0,3.86899995803833,4.811999797821045,2.7760000228881836
1701257400,0,0,0,3.86899995803833,4.811999797821045,2.7760000228881836
1701257700,0,0,0,1.7079999446868896,4.811999797821045,2.7760000228881836
1701258000,0,0,0,3.0299999713897705,4.811999797821045,2.7760000228881836
1701258300,0,0,0,3.813999891281128,4.811999797821045,2.7760000228881836
1701258600,0,0,0,2.5399999618530273,4.821000099182129,2.6429998874664307
1701258900,0,0,0,3.015000104904175,4.821000099182129,2.6429998874664307
1701259200,0,0,0,3.815999984741211,4.821000099182129,2.6429998874664307
1701259500,0,0,0,8.824999809265137,8.128999710083008,6.0879998207092285
1701259800,0,0,0,8.824999809265137,8.128999710083008,6.0879998207092285
1701260100,0,0,0,9.072999954223633,8.258999824523926,6.067999839782715
1701260400,0,0,0,9.904999732971191,9.130000114440918,7.814000129699707
1701260700,0,0,0,1.5160000324249268,4.822000026702881,3.3380000591278076
1701261000,0,0,0,3.4690001010894775,4.822000026702881,3.3380000591278076
1701261300,0,0,0,3.4690001010894775,4.822000026702881,3.3380000591278076
1701261600,0,0,0,4.745999813079834,4.822000026702881,3.3380000591278076
1701261900,0,0,0,2.5230000019073486,4.822000026702881,2.4010000228881836
1701262200,0,0,0,3.506999969482422,4.822000026702881,2.944000005722046
1701262500,0,0,0,4.073999881744385,4.822000026702881,2.944000005722046
1701262800,0,0,0,4.073999881744385,4.822000026702881,2.7320001125335693
1701263100,0,0,0,9.0600004196167,8.282999992370605,6.2820000648498535
1701263400,0,0,0,9.0600004196167,8.282999992370605,6.2820000648498535
1701263700,0,0,0,6.504000186920166,7.993000030517578,6.2820000648498535
1701264000,0,0,0,8.940999984741211,8.86400032043457,6.999000072479248
1701264300,0,0,0,8.670000076293945,8.447999954223633,6.504000186920166
1701264600,0,0,0,9.79699993133545,9.645999908447266,7.145999908447266
1701264900,0,0,0,3.828000068664551,5.4019999504089355,2.7190001010894775
1701265200,0,0,0,1.5130000114440918,5.4019999504089355,2.7190001010894775
1701265500,0,0,0,3.1549999713897705,5.4019999504089355,2.7190001010894775
1701265800,0.010999999940395355,0.010999999940395355,0.009999999776482582,3.9159998893737793,5.4019999504089355,3.4200000762939453
1701266100,0.010999999940395355,0.010999999940395355,0.009999999776482582,4.454999923706055,9.151000022888184,2.9660000801086426
1701266400,0.010999999940395355,0.010999999940395355,0.009999999776482582,4.454999923706055,5.788000106811523,2.9660000801086426
1701266700,0.009999999776482582,0.010999999940395355,0.008999999612569809,8.114999771118164,10.524999618530273,7.429999828338623
1701267000,0.009999999776482582,0.010999999940395355,0.008999999612569809,3.257999897003174,5.795000076293945,2.743000030517578
1701267300,0.009999999776482582,0.010999999940395355,0.008999999612569809,8.121000289916992,8.833000183105469,6.25
1701267447,0.009999999776482582,0.010999999940395355,0.008999999612569809,7.8480000495910645,8.833000183105469,6.25
